Image Number,Category,Label,Correct ID,Blurry image,Humans present,Other animals present,Not real animal,Image collage
00000078,Mammal,"African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000084,Reptile,water snake,0.3333333333333333,0.3333333333333333,-1.0,-1.0,-1.0,-1.0
00000087,Mammal,"siamang, Hylobates syndactylus, Symphalangus syndactylus",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000088,Amphibian,"spotted salamander, Ambystoma maculatum",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000090,Reptile,"American alligator, Alligator mississipiensis",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000091,Mammal,"white wolf, Arctic wolf, Canis lupus tundrarum",1.0,-1.0,1.0,-1.0,-1.0,-1.0
00000092,Mammal,"Madagascar cat, ring-tailed lemur, Lemur catta",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000093,Mammal,"gorilla, Gorilla gorilla",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000095,Mammal,macaque,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000097,Mammal,"wood rabbit, cottontail, cottontail rabbit",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000098,Bird,dowitcher,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000100,Mammal,"bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000107,Land-Invertebrate,"harvestman, daddy longlegs, Phalangium opilio",0.6666666666666666,-0.3333333333333333,-1.0,-1.0,-1.0,-1.0
00000111,Marine-Invertebrate,"American lobster, Northern lobster, Maine lobster, Homarus americanus",1.0,-1.0,1.0,-1.0,-1.0,-1.0
00000124,Fish,"rock beauty, Holocanthus tricolor",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000125,Land-Invertebrate,"grasshopper, hopper",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000127,Mammal,"impala, Aepyceros melampus",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000128,Bird,"bald eagle, American eagle, Haliaeetus leucocephalus",0.6666666666666666,-1.0,-1.0,-1.0,-1.0,-1.0
00000133,Mammal,"hyena, hyaena",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000136,Mammal,warthog,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000138,Marine-Invertebrate,sea urchin,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000142,Marine-Invertebrate,sea urchin,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000153,Reptile,"common iguana, iguana, Iguana iguana",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000154,Marine-Invertebrate,"sea slug, nudibranch",1.0,-1.0,-1.0,0.0,-1.0,-1.0
00000156,Mammal,"coyote, prairie wolf, brush wolf, Canis latrans",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000157,Mammal,"red fox, Vulpes vulpes",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000177,Bird,"red-backed sandpiper, dunlin, Erolia alpina",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000179,Mammal,sorrel,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000181,Mammal,"skunk, polecat, wood pussy",1.0,-1.0,1.0,-1.0,-1.0,-1.0
00000186,Mammal,"snow leopard, ounce, Panthera uncia",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000188,Mammal,"coyote, prairie wolf, brush wolf, Canis latrans",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000189,Mammal,"platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus",1.0,0.0,-1.0,-1.0,-1.0,-1.0
00000195,Marine-Invertebrate,"Dungeness crab, Cancer magister",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000196,Fish,lionfish,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000198,Bird,bulbul,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000206,Mammal,"proboscis monkey, Nasalis larvatus",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000207,Bird,"albatross, mollymawk",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000217,Bird,bulbul,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000218,Land-Invertebrate,"wolf spider, hunting spider",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000225,Amphibian,"European fire salamander, Salamandra salamandra",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000229,Reptile,mud turtle,0.0,-1.0,-0.3333333333333333,-1.0,-1.0,-1.0
00000231,Marine-Invertebrate,hermit crab,1.0,-1.0,0.0,-1.0,-1.0,-1.0
00000233,Mammal,"snow leopard, ounce, Panthera uncia",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000236,Fish,"goldfish, Carassius auratus",1.0,-1.0,-1.0,-1.0,0.0,-1.0
00000238,Marine-Invertebrate,"king crab, Alaska crab, Alaskan king crab, Alaska king crab, Paralithodes camtschatica",0.0,-1.0,1.0,0.0,-1.0,-1.0
00000242,Mammal,"gorilla, Gorilla gorilla",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000245,Marine-Invertebrate,hermit crab,1.0,-1.0,1.0,-1.0,-1.0,-1.0
00000246,Mammal,"bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000247,Bird,"junco, snowbird",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000258,Amphibian,eft,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000262,Fish,"goldfish, Carassius auratus",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000273,Mammal,"skunk, polecat, wood pussy",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000276,Amphibian,eft,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000278,Bird,bee eater,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000293,Fish,"tench, Tinca tinca",0.5,-1.0,-1.0,-1.0,-1.0,-1.0
00000297,Reptile,"frilled lizard, Chlamydosaurus kingi",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000298,Reptile,green mamba,0.6666666666666666,-1.0,-1.0,-1.0,-1.0,-1.0
00000301,Marine-Invertebrate,"sea cucumber, holothurian",1.0,-1.0,1.0,-1.0,-1.0,-1.0
00000303,Mammal,"tiger, Panthera tigris",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000306,Mammal,"water buffalo, water ox, Asiatic buffalo, Bubalus bubalis",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000307,Fish,"goldfish, Carassius auratus",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000312,Fish,"barracouta, snoek",-1.0,-1.0,-1.0,0.0,-1.0,-1.0
00000316,Fish,eel,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000318,Bird,"great grey owl, great gray owl, Strix nebulosa",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000319,Mammal,"echidna, spiny anteater, anteater",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000322,Mammal,"skunk, polecat, wood pussy",1.0,-1.0,0.0,-1.0,-1.0,-1.0
00000323,Mammal,"grey fox, gray fox, Urocyon cinereoargenteus",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000324,Reptile,sea snake,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000326,Mammal,"black-footed ferret, ferret, Mustela nigripes",-0.5,-1.0,-1.0,-1.0,-1.0,-1.0
00000328,Bird,kite,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000337,Reptile,"night snake, Hypsiglena torquata",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000340,Mammal,"titi, titi monkey",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000342,Land-Invertebrate,dung beetle,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000343,Mammal,llama,1.0,-1.0,1.0,-1.0,-1.0,-1.0
00000348,Mammal,"cheetah, chetah, Acinonyx jubatus",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000356,Bird,flamingo,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000361,Land-Invertebrate,tiger beetle,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000362,Reptile,"box turtle, box tortoise",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000363,Bird,bittern,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000370,Bird,coucal,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000371,Marine-Invertebrate,brain coral,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000386,Marine-Invertebrate,jellyfish,1.0,0.0,-1.0,-1.0,-1.0,-1.0
00000389,Bird,crane,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000390,Bird,bittern,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000395,Land-Invertebrate,"garden spider, Aranea diademata",0.6666666666666666,-1.0,-1.0,-1.0,-1.0,-1.0
00000396,Land-Invertebrate,tarantula,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000398,Mammal,"Madagascar cat, ring-tailed lemur, Lemur catta",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000401,Mammal,"black-footed ferret, ferret, Mustela nigripes",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000404,Reptile,"loggerhead, loggerhead turtle, Caretta caretta",1.0,-1.0,-0.3333333333333333,-1.0,-1.0,-1.0
00000407,Land-Invertebrate,"ant, emmet, pismire",1.0,-1.0,-1.0,1.0,-1.0,-1.0
00000409,Mammal,"white wolf, Arctic wolf, Canis lupus tundrarum",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000414,Bird,"indigo bunting, indigo finch, indigo bird, Passerina cyanea",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000415,Bird,drake,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000418,Land-Invertebrate,"dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000420,Bird,bee eater,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000439,Bird,bulbul,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000444,Mammal,"ibex, Capra ibex",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000446,Mammal,"skunk, polecat, wood pussy",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000447,Mammal,"skunk, polecat, wood pussy",1.0,-1.0,1.0,-1.0,-1.0,-1.0
00000456,Mammal,"water buffalo, water ox, Asiatic buffalo, Bubalus bubalis",1.0,-1.0,-1.0,-1.0,1.0,-1.0
00000466,Bird,"black swan, Cygnus atratus",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000470,Bird,"redshank, Tringa totanus",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000471,Reptile,"common iguana, iguana, Iguana iguana",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000476,Bird,magpie,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000478,Mammal,"hog, pig, grunter, squealer, Sus scrofa",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000480,Mammal,"black-footed ferret, ferret, Mustela nigripes",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000481,Mammal,"giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000486,Mammal,baboon,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000487,Mammal,"cougar, puma, catamount, mountain lion, painter, panther, Felis concolor",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000492,Bird,"albatross, mollymawk",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000495,Mammal,"proboscis monkey, Nasalis larvatus",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000496,Mammal,"grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus",0.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000498,Amphibian,"common newt, Triturus vulgaris",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000501,Mammal,"white wolf, Arctic wolf, Canis lupus tundrarum",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000502,Mammal,"fox squirrel, eastern fox squirrel, Sciurus niger",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000510,Land-Invertebrate,"leaf beetle, chrysomelid",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000512,Reptile,"king snake, kingsnake",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000517,Mammal,"red fox, Vulpes vulpes",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000518,Mammal,mongoose,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000520,Mammal,marmoset,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000523,Reptile,"common iguana, iguana, Iguana iguana",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000528,Bird,black grouse,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000530,Mammal,"timber wolf, grey wolf, gray wolf, Canis lupus",1.0,-1.0,-1.0,1.0,-1.0,-1.0
00000541,Reptile,"Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000545,Mammal,"killer whale, killer, orca, grampus, sea wolf, Orcinus orca",1.0,-1.0,1.0,-1.0,-1.0,-1.0
00000546,Land-Invertebrate,slug,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000547,Bird,goose,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000548,Bird,"oystercatcher, oyster catcher",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000552,Mammal,"water buffalo, water ox, Asiatic buffalo, Bubalus bubalis",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000553,Mammal,"chimpanzee, chimp, Pan troglodytes",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000565,Mammal,"guinea pig, Cavia cobaya",1.0,-1.0,1.0,-1.0,-1.0,-1.0
00000570,Bird,"goldfinch, Carduelis carduelis",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000576,Bird,partridge,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000577,Bird,bittern,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000578,Mammal,"dugong, Dugong dugon",1.0,-1.0,1.0,-1.0,-1.0,-1.0
00000581,Land-Invertebrate,"sulphur butterfly, sulfur butterfly",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000585,Mammal,mongoose,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000592,Mammal,"American black bear, black bear, Ursus americanus, Euarctos americanus",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000593,Bird,spoonbill,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000597,Mammal,"Indian elephant, Elephas maximus",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000600,Mammal,"leopard, Panthera pardus",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000604,Mammal,"dingo, warrigal, warragal, Canis dingo",0.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000609,Mammal,"grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus",1.0,-1.0,1.0,-1.0,-1.0,-1.0
00000610,Mammal,"jaguar, panther, Panthera onca, Felis onca",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000617,Mammal,hamster,1.0,-1.0,1.0,-1.0,-1.0,-1.0
00000618,Land-Invertebrate,"sulphur butterfly, sulfur butterfly",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000625,Land-Invertebrate,"ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000628,Mammal,"echidna, spiny anteater, anteater",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000638,Bird,bulbul,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000639,Land-Invertebrate,damselfly,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000642,Mammal,"guinea pig, Cavia cobaya",0.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000644,Mammal,hare,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000648,Bird,crane,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000650,Mammal,"leopard, Panthera pardus",1.0,0.0,-1.0,-1.0,-1.0,-1.0
00000651,Bird,"brambling, Fringilla montifringilla",-0.3333333333333333,-1.0,-1.0,-1.0,-1.0,-1.0
00000655,Mammal,"wallaby, brush kangaroo",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000657,Mammal,"giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000661,Mammal,"hog, pig, grunter, squealer, Sus scrofa",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000669,Marine-Invertebrate,isopod,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000675,Mammal,marmot,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000679,Land-Invertebrate,tick,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000683,Reptile,"green lizard, Lacerta viridis",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000685,Mammal,"wood rabbit, cottontail, cottontail rabbit",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000688,Reptile,"rock python, rock snake, Python sebae",-0.6666666666666666,-1.0,-1.0,-1.0,-1.0,-1.0
00000689,Marine-Invertebrate,"chiton, coat-of-mail shell, sea cradle, polyplacophore",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000690,Bird,"white stork, Ciconia ciconia",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000692,Land-Invertebrate,rhinoceros beetle,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000695,Mammal,"guenon, guenon monkey",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000699,Fish,"puffer, pufferfish, blowfish, globefish",-1.0,0.0,-1.0,-1.0,-1.0,-1.0
00000703,Marine-Invertebrate,"chiton, coat-of-mail shell, sea cradle, polyplacophore",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000713,Bird,"junco, snowbird",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000723,Mammal,weasel,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000726,Mammal,badger,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000735,Bird,spoonbill,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000739,Bird,kite,-0.3333333333333333,-1.0,-1.0,-1.0,-1.0,-1.0
00000744,Bird,drake,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000747,Bird,"brambling, Fringilla montifringilla",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000749,Reptile,"diamondback, diamondback rattlesnake, Crotalus adamanteus",-0.6666666666666666,-1.0,-1.0,-1.0,-1.0,-1.0
00000751,Bird,"redshank, Tringa totanus",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000754,Mammal,tusker,1.0,-1.0,0.0,-1.0,-1.0,-1.0
00000756,Mammal,"kit fox, Vulpes macrotis",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000768,Land-Invertebrate,tiger beetle,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000772,Land-Invertebrate,"mantis, mantid",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000774,Bird,spoonbill,1.0,-1.0,-1.0,1.0,-1.0,-1.0
00000775,Fish,"barracouta, snoek",0.0,-1.0,1.0,-1.0,-1.0,-1.0
00000779,Mammal,"meerkat, mierkat",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000781,Marine-Invertebrate,conch,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000785,Mammal,"dingo, warrigal, warragal, Canis dingo",0.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000786,Reptile,"boa constrictor, Constrictor constrictor",0.6666666666666666,-1.0,-1.0,-1.0,-1.0,-1.0
00000788,Mammal,"chimpanzee, chimp, Pan troglodytes",0.6666666666666666,-1.0,-1.0,-1.0,1.0,-1.0
00000791,Reptile,"leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea",0.3333333333333333,-0.3333333333333333,-1.0,-1.0,-1.0,-1.0
00000794,Bird,"little blue heron, Egretta caerulea",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000806,Reptile,"garter snake, grass snake",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000807,Amphibian,eft,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000810,Land-Invertebrate,"ringlet, ringlet butterfly",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000818,Marine-Invertebrate,fiddler crab,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000819,Land-Invertebrate,rhinoceros beetle,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000821,Marine-Invertebrate,"king crab, Alaska crab, Alaskan king crab, Alaska king crab, Paralithodes camtschatica",-0.3333333333333333,-1.0,0.0,-1.0,-1.0,-1.0
00000825,Bird,"American coot, marsh hen, mud hen, water hen, Fulica americana",1.0,-1.0,-1.0,1.0,-1.0,-1.0
00000828,Mammal,"titi, titi monkey",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000836,Land-Invertebrate,"nematode, nematode worm, roundworm",0.3333333333333333,-1.0,-1.0,-1.0,-1.0,-0.3333333333333333
00000837,Bird,chickadee,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000860,Bird,ptarmigan,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000865,Mammal,"American black bear, black bear, Ursus americanus, Euarctos americanus",0.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000870,Mammal,"chimpanzee, chimp, Pan troglodytes",1.0,-1.0,1.0,-1.0,-1.0,-1.0
00000871,Mammal,"brown bear, bruin, Ursus arctos",1.0,-1.0,-1.0,1.0,-1.0,-1.0
00000873,Bird,"house finch, linnet, Carpodacus mexicanus",1.0,-1.0,-1.0,0.3333333333333333,-1.0,-1.0
00000877,Land-Invertebrate,"harvestman, daddy longlegs, Phalangium opilio",0.6666666666666666,-1.0,-1.0,-1.0,-1.0,-1.0
00000878,Bird,spoonbill,1.0,-1.0,-1.0,1.0,-1.0,-1.0
00000880,Bird,jay,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000885,Bird,black grouse,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000888,Bird,kite,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000890,Amphibian,"European fire salamander, Salamandra salamandra",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000892,Mammal,sorrel,1.0,-1.0,1.0,-1.0,-1.0,-1.0
00000898,Mammal,"lynx, catamount",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000908,Reptile,"whiptail, whiptail lizard",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000912,Mammal,"timber wolf, grey wolf, gray wolf, Canis lupus",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000916,Bird,vulture,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000918,Fish,"puffer, pufferfish, blowfish, globefish",1.0,-1.0,1.0,-1.0,-1.0,-1.0
00000921,Fish,"electric ray, crampfish, numbfish, torpedo",0.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000924,Land-Invertebrate,dung beetle,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000925,Reptile,"green lizard, Lacerta viridis",-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,-1.0
00000926,Land-Invertebrate,"long-horned beetle, longicorn, longicorn beetle",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000929,Bird,coucal,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000930,Reptile,"leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000933,Fish,eel,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000934,Land-Invertebrate,tarantula,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000937,Mammal,"wood rabbit, cottontail, cottontail rabbit",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
